Reaction,N,C,SubS,Solvent,H-X-CNu,AverageL2,exp-ee,iminium,solvent,catalyst,nucleophile,
70,-0.526,0.301,0.255,3.135,180,2.58,1.1,iminium-64-E,m-xylene,"3,5-(CF3)2C6H2",diethyl phosphate,
13,-0.533,0.295,0.254,3.401,180,9.12,1.96,iminium-78-E,ethyl acetate,9-anthryl,MeOH,
40,-0.525,0.308,0.257,3.021,180,4.71,1.96,iminium-91-E,toluene,"2,4,6-i PrC6H2",PhSH,
219,-0.551,0.522,-0.692,3.021,180,9.12,1.71,iminium-134-E,toluene,9-anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
220,-0.572,0.488,-0.679,3.021,180,9.12,2.35,iminium-135-E,toluene,9-anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
221,-0.564,0.501,-0.683,3.021,180,9.12,2.23,iminium-136-E,toluene,9-anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
111,-0.530,0.304,0.256,3.021,180,2.58,0.75,iminium-103-E,toluene,4-ClC6H4,2-diazo-N-(4-methoxyphenyl)acetamide,
63,-0.432,0.196,0.222,3.135,180,2.58,1.53,iminium-65-E,m-xylene,"3,5-(CF3)2C6H2",diisopropyl phosphate,
113,-0.530,0.304,0.256,3.021,180,2.58,1.03,iminium-103-E,toluene,1-Naphthyl,2-diazo-N-(4-methoxyphenyl)acetamide,
119,-0.530,0.304,0.256,2.583,180,9.12,1.49,iminium-103-E,Et2O,9-anthryl,2-diazo-N-(4-methoxyphenyl)acetamide,
12,-0.534,0.296,0.254,3.401,180,9.12,1.63,iminium-77-E,ethyl acetate,9-anthryl,MeOH,
197,-0.422,0.289,0.754,2.583,180,9.12,1.74,iminium-122-E,diethyl ether,9-Anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
124,-0.530,0.304,0.256,3.752,180,9.12,1.68,iminium-103-E,DCM,9-anthryl,2-diazo-N-(4-methoxyphenyl)acetamide,
123,-0.530,0.304,0.256,3.752,180,9.12,1.96,iminium-103-E,DCM,9-anthryl,2-diazo-N-(4-methoxyphenyl)acetamide,
130,-0.533,0.302,0.256,3.752,180,9.12,1.74,iminium-108-E,DCM,9-anthryl,2-diazo-N-(4-methoxyphenyl)acetamide,
67,-0.408,0.212,0.227,3.135,180,2.58,1.63,iminium-69-E,m-xylene,"3,5-(CF3)2C6H2",diisopropyl phosphate,
54,-0.533,0.306,0.255,3.021,180,4.71,2.05,iminium-87-E,toluene,"2,4,6-i PrC6H2",H,
201,-0.422,0.289,0.754,3.021,180,9.12,1.88,iminium-122-E,toluene,9-Anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
52,-0.533,0.306,0.255,3.021,180,4.71,2.06,iminium-87-E,toluene,"2,4,6-i PrC6H2",(CH2)6CH3,
189,-0.533,0.295,0.254,3.715,180,2.58,2.3,iminium-78-E,iPrOAc,9-Phenanthryl,Cumene hydroperoxide,
208,-0.438,0.306,0.768,2.583,180,9.12,2.17,iminium-125-E,diethyl ether,9-Anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
57,-0.405,0.243,0.226,3.021,180,2.58,0.43,iminium-61-E,toluene,4-CF3C6H4,diethyl phosphate,
73,-0.530,0.304,0.256,3.021,180,4.71,1.89,iminium-103-E,toluene,"2,4,6-i PrC6H2",dimethyl (diazomethyl)phosphonate,
218,-0.559,0.511,-0.687,3.021,180,9.12,1.89,iminium-133-E,toluene,9-anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
76,-0.530,0.304,0.256,3.021,180,4.71,2.1,iminium-103-E,toluene,"2,4,6-i PrC6H2",dimethyl (diazomethyl)phosphonate,
78,-0.530,0.304,0.256,3.021,180,4.71,2.13,iminium-103-E,toluene,"2,4,6-i PrC6H2",diethyl (diazomethyl)phosphonate,
80,-0.530,0.304,0.256,3.021,180,4.71,1.94,iminium-103-E,toluene,"2,4,6-i PrC6H2",dibenzyl (diazomethyl)phosphonate,
154,-0.426,0.260,0.244,3.021,180,2.58,2.45,iminium-141-E,toluene,9-Phenanthryl,hydrogen cyanide,
106,-0.542,0.255,0.267,3.021,180,4.71,2.45,iminium-119-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
105,-0.535,0.220,0.273,3.021,180,4.71,2.45,iminium-118-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
104,-0.542,0.285,0.254,3.021,180,4.71,2.45,iminium-117-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
91,-0.530,0.306,0.256,3.021,180,4.71,1.8,iminium-105-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
93,-0.534,0.296,0.257,3.021,180,4.71,1.7,iminium-107-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
103,-0.516,0.308,0.260,3.021,180,4.71,2.45,iminium-116-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
79,-0.530,0.304,0.256,3.021,180,4.71,2.13,iminium-103-E,toluene,"2,4,6-i PrC6H2",diisopropyl (diazomethyl)phosphonate,
102,-0.517,0.307,0.260,3.021,180,4.71,2.45,iminium-115-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
101,-0.510,0.293,0.254,3.021,180,4.71,1.94,iminium-114-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
96,-0.534,0.295,0.257,3.021,180,4.71,2.45,iminium-120-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
95,-0.538,0.295,0.255,3.021,180,4.71,2.45,iminium-109-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
92,-0.551,0.273,0.254,3.021,180,4.71,2.45,iminium-106-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
97,-0.526,0.298,0.270,3.021,180,4.71,2.13,iminium-110-E,toluene,"2,4,6-i PrC6H2",di-tert-butyl (diazomethyl)phosphonate,
139,-0.442,0.250,0.242,3.021,180,2.58,0.25,iminium-149-E,toluene,Ph,hydrogen cyanide,
65,-0.428,0.195,0.221,3.135,180,2.58,1.37,iminium-67-E,m-xylene,"3,5-(CF3)2C6H2",diisopropyl phosphate,
196,-0.422,0.289,0.754,2.583,180,2.58,0.01,iminium-122-E,diethyl ether,2-naphthyl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
120,-0.530,0.304,0.256,3.752,180,9.12,1.58,iminium-103-E,DCM,9-anthryl,2-diazo-N-(4-methoxyphenyl)acetamide,
136,-0.530,0.304,0.256,3.752,180,9.12,1.88,iminium-103-E,DCM,9-anthryl,2-diazo-N-(2-methoxyphenyl)acetamide,
133,-0.530,0.304,0.256,3.752,180,9.12,1.88,iminium-103-E,DCM,9-anthryl,2-diazo-N-phenylacetamide,
205,-0.430,0.305,0.759,2.583,180,9.12,2.17,iminium-123-E,diethyl ether,9-Anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
62,-0.426,0.199,0.222,3.135,180,2.58,1.45,iminium-64-E,m-xylene,"3,5-(CF3)2C6H2",diisopropyl phosphate,
61,-0.391,0.204,0.219,3.135,180,2.58,1.21,iminium-63-E,m-xylene,"3,5-(CF3)2C6H2",diisopropyl phosphate,
171,-0.533,0.306,0.255,3.752,180,2.58,1.27,iminium-87-E,DCM,9-Phenanthryl,tert-Butyl hydroperoxide,
175,-0.526,0.301,0.255,3.715,180,2.58,1.74,iminium-72-E,iPrOAc,9-Phenanthryl,tert-Butyl hydroperoxide,
121,-0.530,0.304,0.256,3.752,180,9.12,1.63,iminium-103-E,DCM,9-anthryl,2-diazo-N-(4-methoxyphenyl)acetamide,
37,-0.537,0.296,0.256,3.021,180,4.71,2.48,iminium-89-E,toluene,"2,4,6-i PrC6H2",PhSH,
179,-0.530,0.304,0.253,3.715,180,2.58,2.3,iminium-76-E,iPrOAc,9-Phenanthryl,tert-Butyl hydroperoxide,
183,-0.550,0.275,0.251,3.715,180,2.58,2.17,iminium-80-E,iPrOAc,9-Phenanthryl,tert-Butyl hydroperoxide,
43,-0.554,0.277,0.254,3.021,180,4.71,2.72,iminium-86-E,toluene,"2,4,6-i PrC6H2",PhSH,
18,-0.552,0.292,0.253,3.401,180,9.12,1.81,iminium-95-E,ethyl acetate,9-anthryl,MeOH,
187,-0.535,0.296,0.255,3.715,180,2.58,1.68,iminium-84-E,iPrOAc,9-Phenanthryl,tert-Butyl hydroperoxide,
125,-0.530,0.304,0.256,3.752,180,9.12,1.96,iminium-103-E,DCM,9-anthryl,2-diazo-N-(4-methoxyphenyl)acetamide,
172,-0.533,0.306,0.255,2.297,180,2.58,0.6,iminium-87-E,THF,9-Phenanthryl,tert-Butyl hydroperoxide,
210,-0.425,0.298,0.767,2.583,180,9.12,2.3,iminium-127-E,diethyl ether,9-Anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
28,-0.530,0.304,0.256,3.021,180,4.71,1.3,iminium-103-E,toluene,"2,4,6-i PrC6H2",PhSH,
363,-0.429,0.262,0.244,3.021,180,2.58,-0.8,iminium-150-E,toluene,9-Phenanthryl,hydrogen cyanide,
240,-0.438,0.457,-0.689,3.752,180,3.61,0,iminium-24-E,DCM,"2,4,6-MeC6H2","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
366,-0.429,0.262,0.244,3.021,180,2.58,-0.29,iminium-150-E,toluene,2-naphthyl,hydrogen cyanide,
364,-0.429,0.262,0.244,3.021,180,2.58,0,iminium-150-E,toluene,Ph,hydrogen cyanide,
374,-0.444,0.463,-0.688,3.021,180,2.58,-0.59,iminium-155-E,toluene,9-Phenanthryl,hydrogen cyanide,
373,-0.444,0.463,-0.688,3.021,180,2.58,-0.56,iminium-154-E,toluene,9-Phenanthryl,hydrogen cyanide,
376,-0.444,0.463,-0.688,3.021,180,2.58,-0.92,iminium-157-E,toluene,9-Phenanthryl,hydrogen cyanide,
378,-0.447,0.458,-0.686,3.021,180,2.58,-1.02,iminium-159-E,toluene,9-Phenanthryl,hydrogen cyanide,
379,-0.435,0.458,-0.689,3.021,180,2.58,-0.77,iminium-160-E,toluene,9-Phenanthryl,hydrogen cyanide,
380,-0.443,0.456,-0.685,3.021,180,2.58,-0.64,iminium-161-E,toluene,9-Phenanthryl,hydrogen cyanide,
381,-0.452,0.450,-0.683,3.021,180,2.58,-0.59,iminium-162-E,toluene,9-Phenanthryl,hydrogen cyanide,
226,-0.430,0.457,-0.682,3.752,180,2.58,-0.39,iminium-22-E,DCM,"4-(2,4,6-MeC6H2)C6H4","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
228,-0.430,0.457,-0.682,3.752,180,4.71,-1.33,iminium-22-E,DCM,"2,4,6-i PrC6H2","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
232,-0.425,0.442,-0.687,3.021,180,4.71,-1.54,iminium-25-E,toluene,"2,4,6-i PrC6H2","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
237,-0.446,0.440,-0.685,3.021,180,4.71,-1.34,iminium-30-E,toluene,"2,4,6-i PrC6H2","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
229,-0.430,0.457,-0.682,3.021,180,4.71,-1.68,iminium-22-E,toluene,"2,4,6-i PrC6H2","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
270,-0.386,0.324,0.953,3.021,114,2.58,-2.03,iminium-13-E,toluene,"3,5-(CF3)2C6H3","2-(4-chlorophenyl)-2,3-dihydro-1,3-benzothiazole",
238,-0.435,0.466,-0.683,3.021,180,4.71,-1.94,iminium-31-E,toluene,"2,4,6-i PrC6H2","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
242,-0.438,0.457,-0.689,3.752,180,2.58,-0.62,iminium-24-E,DCM,1-naphthyl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
245,-0.438,0.457,-0.689,3.752,180,2.58,-0.96,iminium-24-E,DCM,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
250,-0.438,0.457,-0.689,3,180,2.58,-1.15,iminium-24-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
346,-0.434,0.478,-0.484,3,114,4.71,-1.1,iminium-60-E,benzene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
261,-0.449,0.448,-0.682,3,180,2.58,-1.2,iminium-42-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
249,-0.438,0.457,-0.689,3.021,180,2.58,-1.15,iminium-24-E,toluene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
257,-0.425,0.442,-0.687,3,180,2.58,-1.62,iminium-25-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
282,-0.430,0.457,-0.682,3.021,114,2.58,-1.38,iminium-22-E,toluene,Ph,"2-phenyl-2,3-dihydro-1,3-benzothiazole",
260,-0.440,0.458,-0.689,3,180,2.58,-1.26,iminium-41-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
262,-0.422,0.452,-0.682,3,180,2.58,-1.2,iminium-43-E,benzene,"3,5-(CF3)C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
264,-0.430,0.457,-0.682,3,180,2.58,-0.54,iminium-22-E,benzene,2-naphthyl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
265,-0.430,0.457,-0.682,3,180,2.58,-0.68,iminium-22-E,benzene,2-naphthyl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
266,-0.430,0.457,-0.682,3,180,2.58,-0.23,iminium-22-E,benzene,"3,5-NO2C6H3","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
269,-0.386,0.324,0.953,3.021,114,2.58,-1.76,iminium-13-E,toluene,"3,5-(CF3)2C6H3","2-(4-methoxyphenyl)-2,3-dihydro-1,3-benzothiazole",
272,-0.386,0.324,0.953,3.752,114,2.58,-2.42,iminium-13-E,DCM,"3,5-(CF3)2C6H3","2-(4-nitrophenyl)-2,3-dihydro-1,3-benzothiazole",
278,-0.385,0.324,0.952,3.752,114,2.58,-2.6,iminium-18-E,DCM,"3,5-(CF3)2C6H3","2-(4-nitrophenyl)-2,3-dihydro-1,3-benzothiazole",
280,-0.402,0.318,0.954,3.752,114,2.58,-2.6,iminium-20-E,DCM,"3,5-(CF3)2C6H3","2-(4-nitrophenyl)-2,3-dihydro-1,3-benzothiazole",
274,-0.388,0.317,0.953,3.752,114,2.58,-2.86,iminium-14-E,DCM,"3,5-(CF3)2C6H3","2-(4-nitrophenyl)-2,3-dihydro-1,3-benzothiazole",
281,-0.406,0.278,0.959,3.752,114,2.58,-2.6,iminium-21-E,DCM,"3,5-(CF3)2C6H3","2-(4-nitrophenyl)-2,3-dihydro-1,3-benzothiazole",
290,-0.430,0.457,-0.682,3.021,114,4.71,-1.57,iminium-22-E,toluene,"2,4,6-i PrC6H2","2-(4-nitrophenyl)-2,3-dihydro-1,3-benzothiazole",
296,-0.430,0.451,-0.681,3.166,114,4.71,-2.69,iminium-33-E,mesitylene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
293,-0.430,0.457,-0.682,3.021,114,4.71,-2.23,iminium-22-E,toluene,"2,4,6-i PrC6H2","2-propyl-2,3-dihydro-1,3-benzothiazole",
299,-0.449,0.448,-0.682,3.166,114,4.71,-2.95,iminium-42-E,mesitylene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
300,-0.450,0.456,-0.689,3.166,114,4.71,-2.95,iminium-28-E,mesitylene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
303,-0.438,0.509,-0.697,3.166,114,4.71,-2.95,iminium-10-E,mesitylene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
301,-0.415,0.446,-0.682,3.166,114,4.71,-2.35,iminium-26-E,mesitylene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
291,-0.430,0.457,-0.682,3.021,114,4.71,-2.69,iminium-22-E,toluene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
304,-0.441,0.471,-0.684,3.166,114,4.71,-2.95,iminium-40-E,mesitylene,"2,4,6-i PrC6H2","2-(2-naphthyl)-2,3-dihydro-1,3-benzothiazole",
308,-0.426,0.487,-0.697,3,114,9.12,-0.88,iminium-1-E,benzene,9-Anthryl,"2-phenyl-2,3-dihydro-1,3-benzothiazole",
309,-0.426,0.487,-0.697,3,114,2.58,-1.37,iminium-1-E,benzene,"3,5-CF3C6H4","2-phenyl-2,3-dihydro-1,3-benzothiazole",
310,-0.426,0.487,-0.697,3,114,4.71,-2.48,iminium-1-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
315,-0.432,0.486,-0.690,3,114,4.71,-2.13,iminium-4-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
314,-0.419,0.420,-0.690,3,114,4.71,-1.78,iminium-3-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
316,-0.443,0.502,-0.693,3,114,4.71,-2.02,iminium-5-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
317,-0.430,0.485,-0.693,3,114,4.71,-1.51,iminium-6-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
321,-0.438,0.509,-0.697,3,114,4.71,-2.44,iminium-10-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
322,-0.431,0.510,-0.705,3,114,4.71,-2.44,iminium-11-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
324,-0.433,0.476,-0.483,3,114,4.71,-1.49,iminium-45-E,benzene,"2,4,6-i PrC6H2","2-phenyl-2,3-dihydro-1,3-benzothiazole",
234,-0.437,0.456,-0.681,3.021,180,4.71,-1.68,iminium-27-E,toluene,"2,4,6-i PrC6H2","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
